temperature,pressure,humidity,wind_direction,wind_speed,weather_condition
291.03,1011.0,86.0,294.0,1.0,rain
292.65,1011.0,80.0,306.0,0.0,rain
293.93,1013.0,71.0,222.0,1.0,rain
294.18,1013.0,89.0,285.0,1.0,rain
295.08,1015.0,74.0,277.0,0.0,rain
295.7,1013.0,75.0,273.0,0.0,rain
296.23,1013.0,66.0,226.0,1.0,rain
297.12,1015.0,56.0,98.0,0.0,rain
297.59,1015.0,56.0,122.0,1.0,rain
297.67,1013.0,68.0,309.0,0.0,rain
297.24,1014.0,67.0,247.0,1.0,rain
295.93,1015.0,79.0,247.0,1.0,rain
293.82,1015.0,84.0,247.0,1.0,rain
292.13,1017.0,93.0,253.0,0.0,rain
291.04,1017.0,91.0,229.0,1.0,rain
289.92,1018.0,95.0,232.0,1.0,rain
288.9,1017.0,92.0,255.0,1.0,rain
288.49,1020.0,93.0,279.0,1.0,rain
289.24,1021.0,92.0,315.0,1.0,rain
291.23,1022.0,89.0,315.0,1.0,rain
293.65,1021.0,67.0,315.0,1.0,rain
297.09,1022.0,64.0,286.0,0.0,rain
298.11,1021.0,50.0,355.0,1.0,rain
298.97,1021.0,52.0,265.0,0.0,rain
300.1,1021.0,52.0,136.0,1.0,rain
300.49,1019.0,59.0,185.0,1.0,rain
300.53,1019.0,53.0,236.0,1.0,rain
292.29,1014.0,84.0,106.0,1.0,rain
293.4045,1019.0,92.0,173.0,2.0,rain
295.44,1010.0,96.0,175.0,3.0,rain
294.12,1002.0,91.0,212.0,2.0,rain
292.78,1007.0,96.0,240.0,3.0,rain
293.5,1008.0,96.0,234.0,2.0,rain
298.78,1007.0,61.0,278.0,3.0,rain
299.32,1005.0,62.0,153.0,0.0,rain
299.47,1000.0,52.0,253.0,4.0,rain
299.25,1006.0,57.0,302.0,5.0,rain
295.26,1007.0,77.0,113.0,0.0,rain
299.46,1008.0,59.0,327.0,3.0,rain
300.33,1008.0,54.0,321.0,3.0,rain
292.02,1005.0,68.0,136.0,2.0,rain
292.57,1006.0,73.0,162.0,1.0,rain
295.47,1000.0,97.0,158.0,0.0,rain
298.51,999.0,97.0,120.0,1.0,rain
298.77,998.0,100.0,154.0,1.0,rain
296.61,996.0,86.0,285.0,1.0,rain
295.49,996.0,100.0,229.0,0.0,rain
291.7,997.0,86.0,347.0,3.0,rain
290.45,998.0,94.0,10.0,2.0,rain
288.78,999.0,94.0,5.0,1.0,rain
287.52,1001.0,100.0,28.0,4.0,rain
286.9,1002.0,100.0,27.0,5.0,rain
286.63,1002.0,89.0,77.0,2.0,rain
286.08,993.0,87.0,359.0,3.0,rain
285.98,1004.0,98.0,330.0,2.0,rain
286.1,1005.0,98.0,347.0,2.0,rain
286.41,1006.0,97.0,359.0,3.0,rain
286.41,1007.0,97.0,344.0,3.0,rain
286.74,1008.0,79.0,334.0,2.0,rain
288.2,1009.0,89.0,325.0,3.0,rain
289.34,1010.0,89.0,332.0,3.0,rain
291.39,1010.0,89.0,331.0,2.0,rain
293.37,1010.0,82.0,266.0,1.0,rain
294.92,1010.0,82.0,271.0,3.0,rain
296.22,998.0,53.0,331.0,0.0,rain
293.84,1011.0,77.0,50.0,2.0,rain
287.6,1014.0,72.0,21.0,0.0,rain
288.18,1016.0,70.0,313.0,2.0,rain
297.48,1011.0,43.0,284.0,2.0,rain
296.45,1011.0,54.0,237.0,1.0,rain
295.65,1011.0,54.0,227.0,1.0,rain
291.3,1013.0,80.0,273.0,1.0,rain
291.93,1013.0,71.0,258.0,1.0,rain
298.51,1013.0,65.0,283.0,1.0,rain
302.52,1012.0,57.0,250.0,1.0,rain
300.79,1011.0,53.0,235.0,1.0,rain
299.21,1011.0,49.0,233.0,1.0,rain
292.512,1010.0,69.0,180.0,2.0,rain
292.324,1010.0,74.0,220.0,1.0,rain
292.13599999999997,1010.0,80.0,261.0,1.0,rain
291.948,1010.0,85.0,301.0,0.0,rain
291.76,1010.0,91.0,342.0,0.0,rain
291.48,1000.0,90.0,349.0,1.0,rain
291.4,1001.0,93.0,349.0,1.0,rain
288.39,1013.0,94.0,345.0,1.0,rain
288.07,1013.0,94.0,15.0,2.0,rain
289.8665,1025.0,80.0,115.0,2.0,rain
296.59,1017.0,53.0,89.0,1.0,rain
297.23,1012.0,35.0,27.0,1.0,rain
298.119,1020.0,36.0,85.0,1.0,rain
299.008,1028.0,38.0,142.0,2.0,rain
297.02,1017.0,46.0,207.0,0.0,rain
295.7515,1022.0,48.0,203.0,1.0,rain
301.12,1020.0,74.0,190.0,3.0,rain
299.9,1018.0,63.0,162.0,0.0,rain
296.67,1019.0,76.0,227.0,2.0,rain
295.09,1018.0,95.0,244.0,1.0,rain
299.22,1016.0,75.0,191.0,0.0,rain
300.08,1016.0,70.0,72.0,1.0,rain
299.13,1016.0,52.0,251.0,1.0,rain
294.72,1016.0,64.0,237.0,2.0,rain
304.11,1012.0,42.0,234.0,3.0,rain
298.23,1011.0,80.0,250.0,4.0,rain
297.0,1012.0,84.0,250.0,4.0,rain
294.96,1011.0,78.0,289.0,3.0,rain
294.02,1011.0,79.0,239.0,0.0,rain
293.07,1010.0,84.0,270.0,2.0,rain
297.59,1012.0,65.0,240.0,2.0,rain
303.07,1009.0,52.0,263.0,2.0,rain
295.39,1009.0,89.0,226.0,1.0,rain
295.31,1009.0,86.0,226.0,1.0,rain
294.73,1008.0,88.0,189.0,1.0,rain
294.45,1008.0,88.0,189.0,1.0,rain
294.21,997.0,91.0,222.0,1.0,rain
294.01,998.0,91.0,222.0,1.0,rain
293.86,1009.0,89.0,222.0,1.0,rain
297.25,1008.0,77.0,199.0,1.0,rain
301.0125,1009.0,71.0,185.0,3.0,rain
303.98,1003.0,60.0,176.0,0.0,rain
303.62,1002.0,59.0,168.0,3.0,rain
295.5,1002.0,90.0,206.0,2.0,rain
295.45,1002.0,94.0,171.0,0.0,rain
295.5,1002.0,84.0,207.0,1.0,rain
295.5,999.0,95.0,284.0,1.0,rain
295.23,1001.0,85.0,230.0,3.0,rain
294.77,1000.0,89.0,224.0,2.0,rain
294.74,1000.0,87.0,206.0,0.0,rain
296.2,1001.0,88.0,226.0,2.0,rain
299.12,1000.0,65.0,310.0,1.0,rain
300.3,1001.0,62.0,293.0,2.0,rain
300.49,998.0,51.0,229.0,2.0,rain
294.27,1000.0,88.0,139.0,0.0,rain
293.71,1001.0,89.0,257.0,3.0,rain
293.33,999.0,89.0,242.0,0.0,rain
292.86,1001.0,88.0,190.0,3.0,rain
296.15,1010.0,88.0,140.0,1.0,rain
298.24,1014.0,94.0,0.0,2.0,rain
297.77,1014.0,83.0,220.0,5.0,rain
297.15,1015.0,88.0,210.0,2.0,rain
298.15,1015.0,88.0,0.0,1.0,rain
297.15,1015.0,88.0,170.0,2.0,rain
297.15,1015.0,94.0,0.0,2.0,rain
297.15,1015.0,88.0,0.0,2.0,rain
296.85,1017.0,88.0,185.0,3.0,rain
298.82,1020.0,78.0,200.0,4.0,rain
298.15,1021.0,88.0,200.0,4.0,rain
301.15,1019.0,70.0,185.0,3.0,rain
300.69,1020.0,69.0,260.0,7.0,rain
300.62,1024.0,69.0,250.0,5.0,rain
298.55,1024.0,83.0,212.0,3.0,rain
297.99,1025.0,83.0,210.0,5.0,rain
303.67,1012.0,66.0,205.0,0.0,rain
303.55,1023.0,55.0,170.0,2.0,rain
296.57,1021.0,87.0,273.0,0.0,rain
296.69,1004.0,88.0,225.0,4.0,rain
295.54,1006.0,89.0,252.0,3.0,rain
294.96,1017.0,68.0,228.0,1.0,rain
294.91,1017.0,68.0,228.0,0.0,rain
293.7,1016.0,59.0,242.0,0.0,rain
293.59,1016.0,64.0,242.0,1.0,rain
295.32,1018.0,59.0,254.0,0.0,rain
298.4,1018.0,72.0,198.0,1.0,rain
301.33,1018.0,62.0,265.0,0.0,rain
300.38,1016.0,59.0,227.0,0.0,rain
296.82,1017.0,67.0,240.0,2.0,rain
296.19,1016.0,97.0,234.0,1.0,rain
295.7,1004.0,90.0,234.0,1.0,rain
296.02,1013.0,99.0,188.0,1.0,rain
295.95,1003.0,91.0,187.0,1.0,rain
301.22,1014.0,75.0,259.0,2.0,rain
300.89,1013.0,68.0,231.0,1.0,rain
302.97,999.0,64.0,249.0,0.0,rain
302.04,1011.0,92.0,217.0,0.0,rain
300.32,1011.0,92.0,224.0,2.0,rain
299.77,1011.0,92.0,219.0,0.0,rain
298.58,1010.0,92.0,232.0,2.0,rain
